ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,g,bp,rp,bp_rp,bp_g,g_rp
345.8003144584628,0.15299961,59.4082183625404,0.15030406,0.07962205670052769,0.18865594,4.2626014,-3.5356984159044282,0.18308902,-2.3808834541280715,0.19242287,19.019878,19.91548,18.044174,1.8713055,0.8956013,0.9757042
345.8012487518613,0.29604617,59.41066892511695,0.2821563,1.1056096533065816,0.36394152,3.1160448,-1.784124452148966,0.3539018,2.55472805762764,0.36740935,19.883911,20.677607,18.907955,1.7696514,0.79369545,0.97595596
345.8144537257877,1.5512738,59.4155286413125,1.3542552,,,,,,,,21.010443,20.985619,19.59061,1.3950081,-0.024824142,1.4198322
345.84691189234786,0.050468422,59.422488928888114,0.04637247,0.3355656360539784,0.05605569,5.058246,-4.233282897296809,0.058184847,-2.768604369831296,0.059316922,16.942266,17.93556,15.953016,1.982544,0.99329376,0.9892502
345.8183946711341,0.10165318,59.41323903940519,0.10238571,0.1870631112400943,0.12318833,3.4011488,-2.964194121213719,0.11849464,-1.6677429798902983,0.13285336,18.371346,19.298067,17.455421,1.8426456,0.9267216,0.9159241
345.8297821527717,0.16302872,59.419965371334854,0.16296417,0.29994988544516293,0.2003782,3.4331155,-3.210963886665554,0.19109328,-1.2149045930524562,0.21901542,19.177212,20.295567,18.110302,2.1852646,1.1183548,1.0669098
345.83848777214786,0.33038992,59.42160325439261,0.32679456,0.5167567308623124,0.4069244,2.3074079,-1.4763101721917504,0.3973858,-1.773313013635332,0.40368858,19.884407,20.836714,18.86825,1.9684639,0.95230675,1.0161572
345.84345733995195,0.27844527,59.41756615471029,0.2706624,1.6491505965795137,0.34633845,10.638008,9.516502206807967,0.31781897,4.75430401383348,0.34789452,19.77678,21.082964,18.550745,2.532219,1.3061848,1.2260342
345.83374152139703,0.19386917,59.420812358634436,0.18814844,0.6821029520273375,0.23643005,2.0171301,-1.8578173146107617,0.21960524,-0.7857029171868526,0.24895723,19.38941,20.259727,18.422691,1.8370361,0.87031746,0.9667187
345.82147003546623,1.3326344,59.415073448705535,0.9317557,0.6031688998648195,1.4517653,6.7892246,-6.7370101104992255,1.7298888,0.8403946969298396,1.4659117,20.850885,21.334517,19.780262,1.5542545,0.48363113,1.0706234
345.839906751371,0.46883115,59.41600444743415,0.4436951,0.21890057038925462,0.5654785,3.4605196,-2.347983967127497,0.5301454,-2.5420793767999985,0.5747651,20.366535,20.996826,19.37619,1.620636,0.630291,0.990345
345.84052231360454,0.92993844,59.42189932895915,0.7423982,-0.8916022387433189,0.89483434,3.503688,-3.4644110003464967,0.9824446,-0.5231514562479815,0.9464021,20.636143,21.37198,19.586687,1.7852936,0.73583794,1.0494556
345.82307962414546,1.406104,59.41211823114444,1.708741,,,,,,,,20.862394,,,,,
345.84069839639005,0.6122527,59.4271828681406,0.6072649,-0.7119837648892502,0.7554425,3.8844883,-3.6211737717077153,0.7032838,-1.4058274605991872,0.7498496,20.484482,21.238052,19.511778,1.7262745,0.75357056,0.97270393
