ra,ra_err,dec,dec_err,u,u_err,g,g_err,r,r_err,i,i_err,z,g_err1
345.558138211689,0.0377201289427925,59.6513265190245,0.038622533180796,25.01678,8.100816,24.19254,0.4827252,21.7661,0.09079162,20.53673,3.232211,19.69067,0.4827252
345.532814834938,0.0398587665486,59.6573122250698,0.0446815692160257,24.85853,1.27342,24.03736,0.6627153,21.5029,0.1396089,20.58374,0.4171309,21.55496,0.6627153
345.555015433203,0.0305190066635993,59.665986332487,0.0321354031958887,24.86568,0.924153,22.48969,0.1523208,21.08972,0.0625881,20.25004,0.05195523,19.78742,0.1523208
345.559626882266,0.0656339624716907,59.6647946090913,0.0561603195325939,24.97789,0.900806,23.36901,0.2868599,21.77539,0.08623421,20.25449,0.03876388,19.4258,0.2868599
345.563546130186,0.070306153169997,59.65303855309,0.070306153169997,24.86362,0.9294643,22.61459,49.97893,22.4878,0.1709744,20.2388,4.792531,19.49324,49.97893
345.556742586925,0.0384707149470962,59.6535429296653,0.0369396786430139,24.63406,1.426748,22.90834,4.892726,21.16541,2.077058,20.40759,1.488887,19.87335,4.892726
345.53933824737,0.0526801812718777,59.6570409298259,0.0480931864435562,23.43133,0.6598632,23.22816,0.3457633,21.5013,0.2387428,20.64343,0.1907744,19.97767,0.3457633
345.576975765395,0.0263455689146148,59.6643639453256,0.0270500279929156,25.24001,0.8252054,22.45564,0.1195778,20.72799,0.0381045,19.88192,0.02907581,19.17231,0.1195778
345.543975725044,0.0430268623843225,59.6522327368662,0.0429886876180613,25.18863,1.531984,22.49608,0.7511809,21.47387,0.1542477,20.02187,1.034367,19.31593,0.7511809
345.519928425758,0.0217383863873281,59.64646802966,0.0233896996283606,23.71475,1.013541,22.55993,0.2442141,20.72163,0.125131,19.85824,0.09569307,19.29148,0.2442141
345.5308702306,0.0937128468284248,59.6492319498827,0.0931991794433316,22.75445,0.330635,23.68895,0.3731726,22.07763,0.1130268,20.18992,2.535221,19.1321,0.3731726
345.52773528114,0.102329712048944,59.6536997598624,0.103213738938168,25.61615,2.623884,21.8184,2.010628,20.4977,0.146022,19.68078,0.672806,20.22688,2.010628
345.549393623655,0.0178456850538383,59.654325364282,0.017444604575634,25.24497,1.039222,21.69054,0.07194852,20.2809,0.02874261,19.46791,0.03030139,18.82858,0.07194852
345.533113296233,0.0553907783677545,59.6555968056309,0.0594879241924588,24.73407,6.118169,22.85144,11.61794,21.21518,5.170664,20.48061,2.834705,19.68146,11.61794
345.527570756986,0.406051099239524,59.6517091811885,0.405774511360992,23.08261,0.4875176,22.88128,1.050879,20.85788,0.0370378,19.39307,1.278265,22.82688,1.050879
345.557383059794,0.0134251000266004,59.655989372226,0.0136343418002005,24.93302,1.283685,21.1924,0.05948194,19.95445,0.02393967,19.21338,0.02482769,18.77681,0.05948194
345.517980020651,0.0222287910568605,59.6459357147919,0.0205866527192511,24.34612,0.8342643,22.13139,0.2557738,20.41984,0.1537944,19.71246,0.1490653,19.53512,0.2557738
345.55206461781,0.00827882540702759,59.6612923318744,0.00831190810531315,23.75511,0.6297741,20.54635,0.02781155,19.29371,0.01353577,18.71691,0.01571664,18.33742,0.02781155
345.566505574016,0.00854993746386216,59.6533554601112,0.00842910887513905,23.08681,0.5274622,20.27999,0.06159657,19.33903,0.02984047,18.67334,0.02503827,18.10132,0.06159657
345.576219855187,0.00863251100120012,59.6622251203697,0.00894194109002339,23.69911,0.8957041,20.84642,0.05154785,19.35915,0.02615203,18.66969,0.02189783,18.11782,0.05154785
345.560306678386,0.00820703175447454,59.6615838739967,0.00855471521945259,22.30377,0.2345038,20.4509,0.02685396,19.23838,0.01341851,18.56652,0.0849846,18.02191,0.02685396
345.535358391595,0.00769088438592195,59.657167440735,0.00801773458142576,22.14457,0.2270156,20.49546,0.03059756,19.20546,0.01444324,18.56358,0.01584322,18.03195,0.03059756
345.541956702583,0.00727170539943352,59.6517336292091,0.00747152607352625,23.15693,0.530302,20.55298,0.03050489,19.11564,0.01349014,18.40194,0.01517363,17.78584,0.03050489
345.56123346835,0.00550077992405982,59.6610595639742,0.00551100378023369,23.00296,0.4242991,20.82563,0.03259384,19.49197,0.01476155,18.10745,0.04968265,18.05781,0.03259384
345.542905135756,0.00494312546933118,59.6495536983303,0.00494988007851873,23.17279,0.420899,19.70405,0.01947297,18.50706,0.009514163,18.04834,0.01330751,17.67687,0.01947297
345.539524809417,0.00596657054849018,59.657660373875,0.00614421561828886,24.26881,0.81561,20.50943,0.03096015,18.84962,0.01360407,18.00765,0.0157562,17.31945,0.03096015
345.574591090737,0.00465375045712935,59.6616296506115,0.00472662484255498,21.59626,0.1311072,19.36651,0.0168084,18.4328,0.008924224,17.95202,0.01320048,17.51845,0.0168084
345.55194611883,0.00457269620202453,59.6515420747611,0.00466392634392481,21.78209,0.1507528,19.54902,0.017551,18.42799,0.008835513,17.95718,0.01303477,17.58915,0.017551
345.516515463421,0.00418008036589618,59.645830810785,0.00424821251238879,22.50795,0.2765596,19.45962,0.01820977,18.22861,0.01125079,17.56413,0.01457635,17.05724,0.01820977
345.553102960677,0.00257617792653443,59.6632724016242,0.00265586288959391,21.95702,0.2321433,18.82446,0.309714,17.39591,0.2062259,16.80872,0.1685161,16.40232,0.309714
345.554862596336,0.00229607313772681,59.6535412069688,0.00231333239808559,20.10908,0.04960008,18.02942,0.01390126,17.21673,0.006698729,16.77162,0.01183577,16.35464,0.01390126
345.531400802371,0.00223294285754972,59.6553673971331,0.00228643180022204,21.57171,0.1254196,17.99588,0.01389266,17.14497,0.006702791,16.70096,0.01179548,16.28852,0.01389266
345.531013964773,0.00191174469798475,59.6524909728093,0.00193432826955014,20.98981,0.07921699,17.89889,0.01367501,16.84286,0.006263323,16.3662,0.01158649,16.01071,0.01367501
345.561356277598,0.00155856786489126,59.6629125672511,0.00156360205415943,19.10466,0.02568755,17.2884,0.01327775,16.4184,0.005987009,16.04512,0.01149145,15.76838,0.01327775
345.545125708156,0.00153625164352112,59.6512573809035,0.00156355908437355,18.92167,0.02493924,17.18604,0.01358172,16.39483,0.007556676,16.04898,0.01276892,15.80947,0.01358172
345.573794951365,0.00139337427446441,59.6596929886647,0.00139079902403862,18.5055,0.02102542,16.91602,0.01315137,16.18629,0.006036419,15.90896,0.01146201,15.68991,0.01315137
345.570335832174,0.00132626892821134,59.6585300740153,0.00134236146581843,18.77662,0.02276566,16.7993,0.01312382,16.09092,0.00588915,15.74883,0.01143782,15.45341,0.01312382
345.553250416512,0.00135886820151728,59.6640009665805,0.00136284296276726,19.42473,0.03011721,17.20379,0.01671252,16.16628,0.01303686,15.75247,0.01904642,15.44023,0.01671252
345.534468797889,0.0899133695227831,59.6542020032495,0.0882731356696869,18.29394,0.02023608,16.41703,0.0735705,15.85005,0.03164656,15.59342,0.04134018,15.35299,0.0735705
345.54034326822,0.00105087933868009,59.6559498913276,0.00106829505827296,18.30301,0.02004173,16.51674,0.01306567,15.64678,0.005783801,15.20382,0.01137265,14.79758,0.01306567
345.53165387622,0.0899116389163151,59.6456345805611,0.088658161878122,17.97716,0.2639761,16.04266,0.08005529,15.10101,0.0161012,14.72317,0.01685457,14.61571,0.08005529
345.531367720988,0.0899282360624318,59.6464715757332,0.0886635538395017,15.43786,0.01521825,14.45244,0.01593341,15.12367,0.1830778,15.26707,0.2858358,12.43455,0.01593341
345.559643690735,0.0898943932706299,59.6575965209222,0.0882244362996626,15.52316,0.01521874,14.3347,0.01289119,12.85356,0.0004586485,14.51453,0.01211919,13.23448,0.01289119
345.434141753566,0.136550863463021,59.6312123951419,0.134891451158662,24.08787,2.063186,24.40366,0.4345784,23.69563,0.5200853,22.0039,0.1768403,21.96367,0.4345784
345.420034684531,0.14475253652153,59.6305085640412,0.132702915515463,24.24386,0.8714375,25.16771,0.7307384,24.10794,0.7461458,22.10671,0.215944,20.84933,0.7307384
345.432162749007,0.132089070497805,59.6301105963561,0.141694917336267,23.68211,0.3957046,24.7287,0.7954122,22.853,0.2964201,22.31069,1.037259,20.79105,0.7954122
345.440141048757,0.111940451413238,59.6273161539703,0.117019941280548,25.09536,0.8408275,24.5125,0.3622549,23.25816,0.4175256,21.64496,0.1269,21.36857,0.3622549
345.433219239238,0.144973339959535,59.6286585585136,0.138336753043864,24.67485,0.9217234,24.817,0.73964,22.52513,0.1992658,21.57855,0.1303773,21.19486,0.73964
345.42785104558,0.0958568247034924,59.6341450892853,0.101371012797849,23.86444,0.6778886,24.12844,0.5036883,22.60074,0.2184364,21.54083,0.124611,21.50852,0.5036883
345.44307911611,0.108549134501566,59.6283422446494,0.141058211501953,24.86987,0.9012696,24.06582,0.7577448,22.68858,0.2442663,21.4264,0.1175789,20.45148,0.7577448
345.42556789034,0.191598641882362,59.625895066588,0.183031411258145,24.21488,1.264776,24.42444,0.5547708,23.49535,0.6023365,21.2203,0.09408986,20.4758,0.5547708
